customer_id,pc1,pc2,segment_id
0002-ORFBO,-0.5412547711635926,0.48882138248935586,0
0003-MKNFE,-2.023509990260292,0.7054075678556821,0
0004-TLHLJ,-1.9897595988812544,-3.0935743337624095,0
0011-IGKFF,-0.5448155143900825,-2.959436019142988,0
0013-EXCHZ,-1.2988391665467351,-1.539704716341256,0
0013-MHZWF,-1.5467500521714383,-0.8603815653974315,0
0013-SMEOE,4.26732027884815,-1.105969893509621,2
0014-BMAQU,2.7506043205979034,1.2510450890191047,2
0015-UOCOJ,-1.4314060207268546,-0.4221009191884636,0
0016-QLJIS,3.384836539141085,1.084150705083692,2
0017-DINOC,-0.25243573763902055,1.9600042075169408,1
0017-IUDMW,4.290825955676118,-0.18952485780586736,2
0018-NYROU,-1.5789536147124326,-2.03874425335236,0
0019-EFAEP,2.972609351666161,-0.9287329322435453,2
0019-GFNTW,0.1515807294886597,0.6307104837635547,0
0020-INWCK,4.819539165936503,1.740335356861665,2
0020-JDNXP,-0.47589408844651604,1.03695765891179,0
0021-IKXGC,-1.5713800811397203,-1.6607440688120803,0
0022-TCJCI,-0.4396194898323652,0.3948196680155305,0
0023-HGHWL,-2.69145363294776,-0.7787311639344504,0
0023-UYUPN,-0.7104076680734875,1.7627644504840039,1
0023-XUOPT,-0.28797820613418906,-2.587280990411216,0
0027-KWYKW,-0.23377894010413147,-1.5470172314976887,0
0030-FNXPP,-3.3451001672143224,2.257567434320516,1
0031-PVLZI,-4.114839101114261,1.2398481527908678,1
0032-PGELS,-2.2357640188374672,-0.3310478124201931,0
0036-IHMOT,4.231427019548844,-0.813151712552401,2
0040-HALCW,0.10276010841937205,4.599219317364823,1
0042-JVWOJ,-1.3881687569635015,1.3416794275311845,1
0042-RLHYP,1.317689534876463,3.939271134068303,1
0048-LUMLS,2.1743251098743617,0.9465695175310558,2
0048-PIHNL,1.1711194770183608,2.812094285190852,1
0052-DCKON,5.160595185693113,-0.7887167216023673,2
0052-YNYOT,-0.2935174164424855,2.6372597403942475,1
0056-EPFBG,-0.46764020483084157,1.6034781544458045,0
0057-QBUQH,-0.3659580856532006,2.4859100753125394,1
0058-EVZWM,1.3369253860599044,-1.5302167588053386,2
0060-FUALY,2.1742340874940798,-1.6620683405439869,2
0064-SUDOG,-1.0823352145728986,3.269733220691523,1
0064-YIJGF,0.39329664137277714,-1.0543969835965663,0
0067-DKWBL,-2.1157270071313876,-1.6945427345784185,0
0068-FIGTF,0.5942227421535097,0.09075962922298936,2
0071-NDAFP,-0.9588932818820455,3.9698721004776667,1
